count	cutoff	tprate	fprate	case	penal	gene	method
0	0.21	0.559322033898	0.154385964912	Guidance	no	or5	fubar
0	0.22	0.525423728814	0.122807017544	Guidance	no	or5	fubar
0	0.23	0.5	0.0912280701754	Guidance	no	or5	fubar
0	0.24	0.474576271186	0.0736842105263	Guidance	no	or5	fubar
0	0.25	0.449152542373	0.0631578947368	Guidance	no	or5	fubar
0	0.26	0.449152542373	0.0631578947368	Guidance	no	or5	fubar
0	0.27	0.423728813559	0.0561403508772	Guidance	no	or5	fubar
0	0.28	0.415254237288	0.0491228070175	Guidance	no	or5	fubar
0	0.29	0.406779661017	0.0491228070175	Guidance	no	or5	fubar
0	0.3	0.406779661017	0.0491228070175	Guidance	no	or5	fubar
0	0.31	0.398305084746	0.0491228070175	Guidance	no	or5	fubar
0	0.32	0.381355932203	0.0385964912281	Guidance	no	or5	fubar
0	0.33	0.381355932203	0.0385964912281	Guidance	no	or5	fubar
0	0.34	0.381355932203	0.0385964912281	Guidance	no	or5	fubar
0	0.35	0.381355932203	0.0385964912281	Guidance	no	or5	fubar
0	0.36	0.381355932203	0.0350877192982	Guidance	no	or5	fubar
0	0.37	0.381355932203	0.0350877192982	Guidance	no	or5	fubar
0	0.38	0.381355932203	0.0245614035088	Guidance	no	or5	fubar
0	0.39	0.364406779661	0.0245614035088	Guidance	no	or5	fubar
0	0.4	0.364406779661	0.0245614035088	Guidance	no	or5	fubar
0	0.41	0.35593220339	0.0245614035088	Guidance	no	or5	fubar
0	0.42	0.35593220339	0.0245614035088	Guidance	no	or5	fubar
0	0.43	0.338983050847	0.0245614035088	Guidance	no	or5	fubar
0	0.44	0.338983050847	0.0245614035088	Guidance	no	or5	fubar
0	0.45	0.330508474576	0.0245614035088	Guidance	no	or5	fubar
0	0.46	0.322033898305	0.0175438596491	Guidance	no	or5	fubar
0	0.47	0.305084745763	0.0175438596491	Guidance	no	or5	fubar
0	0.48	0.279661016949	0.0140350877193	Guidance	no	or5	fubar
0	0.49	0.279661016949	0.0105263157895	Guidance	no	or5	fubar
0	0.5	0.271186440678	0.00701754385965	Guidance	no	or5	fubar
0	0.51	0.262711864407	0.00701754385965	Guidance	no	or5	fubar
0	0.52	0.262711864407	0.00701754385965	Guidance	no	or5	fubar
0	0.53	0.262711864407	0.00350877192982	Guidance	no	or5	fubar
0	0.54	0.254237288136	0.00350877192982	Guidance	no	or5	fubar
0	0.55	0.254237288136	0.00350877192982	Guidance	no	or5	fubar
0	0.56	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.57	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.58	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.59	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.6	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.61	0.245762711864	0.00350877192982	Guidance	no	or5	fubar
0	0.62	0.237288135593	0.00350877192982	Guidance	no	or5	fubar
0	0.63	0.220338983051	0.00350877192982	Guidance	no	or5	fubar
0	0.64	0.203389830508	0.00350877192982	Guidance	no	or5	fubar
0	0.65	0.194915254237	0.00350877192982	Guidance	no	or5	fubar
0	0.66	0.194915254237	0.00350877192982	Guidance	no	or5	fubar
0	0.67	0.186440677966	0.00350877192982	Guidance	no	or5	fubar
0	0.68	0.186440677966	0.00350877192982	Guidance	no	or5	fubar
0	0.69	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.7	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.71	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.72	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.73	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.74	0.177966101695	0.00350877192982	Guidance	no	or5	fubar
0	0.75	0.169491525424	0.00350877192982	Guidance	no	or5	fubar
0	0.76	0.152542372881	0.00350877192982	Guidance	no	or5	fubar
0	0.77	0.135593220339	0.00350877192982	Guidance	no	or5	fubar
0	0.78	0.127118644068	0.00350877192982	Guidance	no	or5	fubar
0	0.79	0.110169491525	0.00350877192982	Guidance	no	or5	fubar
0	0.8	0.110169491525	0.00350877192982	Guidance	no	or5	fubar
0	0.81	0.110169491525	0.0	Guidance	no	or5	fubar
0	0.82	0.110169491525	0.0	Guidance	no	or5	fubar
0	0.83	0.110169491525	0.0	Guidance	no	or5	fubar
0	0.84	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.85	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.86	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.87	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.88	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.89	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.9	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.91	0.0847457627119	0.0	Guidance	no	or5	fubar
0	0.92	0.0677966101695	0.0	Guidance	no	or5	fubar
0	0.93	0.0677966101695	0.0	Guidance	no	or5	fubar
0	0.94	0.0508474576271	0.0	Guidance	no	or5	fubar
0	0.95	0.0338983050847	0.0	Guidance	no	or5	fubar
0	0.96	0.0254237288136	0.0	Guidance	no	or5	fubar
0	0.97	0.0169491525424	0.0	Guidance	no	or5	fubar
0	0.98	0.0169491525424	0.0	Guidance	no	or5	fubar
0	0.99	0.0169491525424	0.0	Guidance	no	or5	fubar
0	1.0	0.0	0.0	Guidance	no	or5	fubar
0	0.0	1.0	1.0	GuidanceP	yes	or5	fubar
0	0.01	1.0	1.0	GuidanceP	yes	or5	fubar
0	0.02	1.0	1.0	GuidanceP	yes	or5	fubar
0	0.03	1.0	1.0	GuidanceP	yes	or5	fubar
0	0.04	1.0	1.0	GuidanceP	yes	or5	fubar
0	0.05	0.983050847458	0.968421052632	GuidanceP	yes	or5	fubar
0	0.06	0.898305084746	0.789473684211	GuidanceP	yes	or5	fubar
0	0.07	0.805084745763	0.519298245614	GuidanceP	yes	or5	fubar
0	0.08	0.720338983051	0.354385964912	GuidanceP	yes	or5	fubar
0	0.09	0.703389830508	0.305263157895	GuidanceP	yes	or5	fubar
0	0.1	0.652542372881	0.249122807018	GuidanceP	yes	or5	fubar
0	0.11	0.652542372881	0.238596491228	GuidanceP	yes	or5	fubar
0	0.12	0.652542372881	0.235087719298	GuidanceP	yes	or5	fubar
0	0.13	0.652542372881	0.235087719298	GuidanceP	yes	or5	fubar
0	0.14	0.652542372881	0.235087719298	GuidanceP	yes	or5	fubar
0	0.15	0.652542372881	0.235087719298	GuidanceP	yes	or5	fubar
0	0.16	0.64406779661	0.228070175439	GuidanceP	yes	or5	fubar
0	0.17	0.627118644068	0.224561403509	GuidanceP	yes	or5	fubar
0	0.18	0.627118644068	0.214035087719	GuidanceP	yes	or5	fubar
0	0.19	0.618644067797	0.20350877193	GuidanceP	yes	or5	fubar
0	0.2	0.576271186441	0.161403508772	GuidanceP	yes	or5	fubar
0	0.21	0.559322033898	0.150877192982	GuidanceP	yes	or5	fubar
0	0.22	0.525423728814	0.112280701754	GuidanceP	yes	or5	fubar
0	0.23	0.491525423729	0.0842105263158	GuidanceP	yes	or5	fubar
0	0.24	0.466101694915	0.0701754385965	GuidanceP	yes	or5	fubar
0	0.25	0.449152542373	0.059649122807	GuidanceP	yes	or5	fubar
0	0.26	0.440677966102	0.0526315789474	GuidanceP	yes	or5	fubar
0	0.27	0.423728813559	0.0526315789474	GuidanceP	yes	or5	fubar
0	0.28	0.415254237288	0.0456140350877	GuidanceP	yes	or5	fubar
0	0.29	0.406779661017	0.0456140350877	GuidanceP	yes	or5	fubar
0	0.3	0.398305084746	0.0456140350877	GuidanceP	yes	or5	fubar
0	0.31	0.398305084746	0.0456140350877	GuidanceP	yes	or5	fubar
0	0.32	0.381355932203	0.0350877192982	GuidanceP	yes	or5	fubar
0	0.33	0.381355932203	0.0350877192982	GuidanceP	yes	or5	fubar
0	0.34	0.381355932203	0.0350877192982	GuidanceP	yes	or5	fubar
0	0.35	0.381355932203	0.0350877192982	GuidanceP	yes	or5	fubar
0	0.36	0.381355932203	0.0315789473684	GuidanceP	yes	or5	fubar
0	0.37	0.381355932203	0.0315789473684	GuidanceP	yes	or5	fubar
0	0.38	0.381355932203	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.39	0.364406779661	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.4	0.364406779661	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.41	0.35593220339	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.42	0.35593220339	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.43	0.338983050847	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.44	0.338983050847	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.45	0.330508474576	0.0210526315789	GuidanceP	yes	or5	fubar
0	0.46	0.322033898305	0.0175438596491	GuidanceP	yes	or5	fubar
0	0.47	0.305084745763	0.0175438596491	GuidanceP	yes	or5	fubar
0	0.48	0.279661016949	0.0175438596491	GuidanceP	yes	or5	fubar
0	0.49	0.279661016949	0.0105263157895	GuidanceP	yes	or5	fubar
0	0.5	0.271186440678	0.00701754385965	GuidanceP	yes	or5	fubar
0	0.51	0.262711864407	0.00701754385965	GuidanceP	yes	or5	fubar
0	0.52	0.262711864407	0.00701754385965	GuidanceP	yes	or5	fubar
0	0.53	0.262711864407	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.54	0.254237288136	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.55	0.254237288136	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.56	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.57	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.58	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.59	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.6	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.61	0.245762711864	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.62	0.237288135593	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.63	0.228813559322	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.64	0.203389830508	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.65	0.194915254237	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.66	0.194915254237	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.67	0.186440677966	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.68	0.186440677966	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.69	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.7	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.71	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.72	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.73	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.74	0.177966101695	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.75	0.169491525424	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.76	0.161016949153	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.77	0.135593220339	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.78	0.135593220339	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.79	0.118644067797	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.8	0.110169491525	0.00350877192982	GuidanceP	yes	or5	fubar
0	0.81	0.110169491525	0.0	GuidanceP	yes	or5	fubar
0	0.82	0.110169491525	0.0	GuidanceP	yes	or5	fubar
0	0.83	0.110169491525	0.0	GuidanceP	yes	or5	fubar
0	0.84	0.0932203389831	0.0	GuidanceP	yes	or5	fubar
0	0.85	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.86	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.87	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.88	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.89	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.9	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.91	0.0847457627119	0.0	GuidanceP	yes	or5	fubar
0	0.92	0.0762711864407	0.0	GuidanceP	yes	or5	fubar
0	0.93	0.0677966101695	0.0	GuidanceP	yes	or5	fubar
0	0.94	0.0508474576271	0.0	GuidanceP	yes	or5	fubar
0	0.95	0.0338983050847	0.0	GuidanceP	yes	or5	fubar
0	0.96	0.0254237288136	0.0	GuidanceP	yes	or5	fubar
0	0.97	0.0169491525424	0.0	GuidanceP	yes	or5	fubar
0	0.98	0.0169491525424	0.0	GuidanceP	yes	or5	fubar
0	0.99	0.0169491525424	0.0	GuidanceP	yes	or5	fubar
0	1.0	0.0	0.0	GuidanceP	yes	or5	fubar
0	0.0	1.0	1.0	BMweights	no	or5	fubar
0	0.01	1.0	1.0	BMweights	no	or5	fubar
0	0.02	1.0	1.0	BMweights	no	or5	fubar
0	0.03	1.0	1.0	BMweights	no	or5	fubar
0	0.04	1.0	1.0	BMweights	no	or5	fubar
0	0.05	0.991525423729	0.982456140351	BMweights	no	or5	fubar
0	0.06	0.949152542373	0.856140350877	BMweights	no	or5	fubar
0	0.07	0.822033898305	0.554385964912	BMweights	no	or5	fubar
0	0.08	0.754237288136	0.414035087719	BMweights	no	or5	fubar
0	0.09	0.720338983051	0.329824561404	BMweights	no	or5	fubar
0	0.1	0.661016949153	0.273684210526	BMweights	no	or5	fubar
0	0.11	0.652542372881	0.242105263158	BMweights	no	or5	fubar
0	0.12	0.652542372881	0.238596491228	BMweights	no	or5	fubar
0	0.13	0.652542372881	0.235087719298	BMweights	no	or5	fubar
0	0.14	0.652542372881	0.235087719298	BMweights	no	or5	fubar
0	0.15	0.652542372881	0.235087719298	BMweights	no	or5	fubar
0	0.16	0.652542372881	0.235087719298	BMweights	no	or5	fubar
0	0.17	0.64406779661	0.224561403509	BMweights	no	or5	fubar
0	0.18	0.627118644068	0.217543859649	BMweights	no	or5	fubar
0	0.19	0.618644067797	0.210526315789	BMweights	no	or5	fubar
0	0.2	0.584745762712	0.164912280702	BMweights	no	or5	fubar
0	0.21	0.567796610169	0.161403508772	BMweights	no	or5	fubar
0	0.22	0.533898305085	0.140350877193	BMweights	no	or5	fubar
0	0.23	0.5	0.0982456140351	BMweights	no	or5	fubar
0	0.24	0.483050847458	0.0736842105263	BMweights	no	or5	fubar
0	0.25	0.457627118644	0.0631578947368	BMweights	no	or5	fubar
0	0.26	0.449152542373	0.0631578947368	BMweights	no	or5	fubar
0	0.27	0.423728813559	0.0561403508772	BMweights	no	or5	fubar
0	0.28	0.415254237288	0.0491228070175	BMweights	no	or5	fubar
0	0.29	0.406779661017	0.0491228070175	BMweights	no	or5	fubar
0	0.3	0.406779661017	0.0491228070175	BMweights	no	or5	fubar
0	0.31	0.398305084746	0.0491228070175	BMweights	no	or5	fubar
0	0.32	0.389830508475	0.0385964912281	BMweights	no	or5	fubar
0	0.33	0.381355932203	0.0385964912281	BMweights	no	or5	fubar
0	0.34	0.381355932203	0.0385964912281	BMweights	no	or5	fubar
0	0.35	0.381355932203	0.0385964912281	BMweights	no	or5	fubar
0	0.36	0.381355932203	0.0350877192982	BMweights	no	or5	fubar
0	0.37	0.381355932203	0.0350877192982	BMweights	no	or5	fubar
0	0.38	0.381355932203	0.0245614035088	BMweights	no	or5	fubar
0	0.39	0.364406779661	0.0245614035088	BMweights	no	or5	fubar
0	0.4	0.364406779661	0.0245614035088	BMweights	no	or5	fubar
0	0.41	0.35593220339	0.0245614035088	BMweights	no	or5	fubar
0	0.42	0.35593220339	0.0245614035088	BMweights	no	or5	fubar
0	0.43	0.338983050847	0.0245614035088	BMweights	no	or5	fubar
0	0.44	0.338983050847	0.0245614035088	BMweights	no	or5	fubar
0	0.45	0.330508474576	0.0245614035088	BMweights	no	or5	fubar
0	0.46	0.322033898305	0.0175438596491	BMweights	no	or5	fubar
0	0.47	0.305084745763	0.0175438596491	BMweights	no	or5	fubar
0	0.48	0.279661016949	0.0140350877193	BMweights	no	or5	fubar
0	0.49	0.279661016949	0.00701754385965	BMweights	no	or5	fubar
0	0.5	0.271186440678	0.00701754385965	BMweights	no	or5	fubar
0	0.51	0.262711864407	0.00701754385965	BMweights	no	or5	fubar
0	0.52	0.262711864407	0.00350877192982	BMweights	no	or5	fubar
0	0.53	0.262711864407	0.00350877192982	BMweights	no	or5	fubar
0	0.54	0.254237288136	0.00350877192982	BMweights	no	or5	fubar
0	0.55	0.254237288136	0.00350877192982	BMweights	no	or5	fubar
0	0.56	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.57	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.58	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.59	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.6	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.61	0.245762711864	0.00350877192982	BMweights	no	or5	fubar
0	0.62	0.237288135593	0.00350877192982	BMweights	no	or5	fubar
0	0.63	0.220338983051	0.00350877192982	BMweights	no	or5	fubar
0	0.64	0.203389830508	0.00350877192982	BMweights	no	or5	fubar
0	0.65	0.194915254237	0.00350877192982	BMweights	no	or5	fubar
0	0.66	0.194915254237	0.00350877192982	BMweights	no	or5	fubar
0	0.67	0.186440677966	0.00350877192982	BMweights	no	or5	fubar
0	0.68	0.186440677966	0.00350877192982	BMweights	no	or5	fubar
0	0.69	0.177966101695	0.00350877192982	BMweights	no	or5	fubar
0	0.7	0.177966101695	0.00350877192982	BMweights	no	or5	fubar
0	0.71	0.177966101695	0.00350877192982	BMweights	no	or5	fubar
0	0.72	0.177966101695	0.00350877192982	BMweights	no	or5	fubar
0	0.73	0.177966101695	0.00350877192982	BMweights	no	or5	fubar
0	0.74	0.169491525424	0.00350877192982	BMweights	no	or5	fubar
0	0.75	0.169491525424	0.00350877192982	BMweights	no	or5	fubar
0	0.76	0.152542372881	0.00350877192982	BMweights	no	or5	fubar
0	0.77	0.135593220339	0.00350877192982	BMweights	no	or5	fubar
0	0.78	0.127118644068	0.00350877192982	BMweights	no	or5	fubar
0	0.79	0.110169491525	0.00350877192982	BMweights	no	or5	fubar
0	0.8	0.110169491525	0.00350877192982	BMweights	no	or5	fubar
0	0.81	0.110169491525	0.0	BMweights	no	or5	fubar
0	0.82	0.110169491525	0.0	BMweights	no	or5	fubar
0	0.83	0.110169491525	0.0	BMweights	no	or5	fubar
0	0.84	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.85	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.86	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.87	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.88	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.89	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.9	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.91	0.0847457627119	0.0	BMweights	no	or5	fubar
0	0.92	0.0677966101695	0.0	BMweights	no	or5	fubar
0	0.93	0.0677966101695	0.0	BMweights	no	or5	fubar
0	0.94	0.0423728813559	0.0	BMweights	no	or5	fubar
0	0.95	0.0338983050847	0.0	BMweights	no	or5	fubar
0	0.96	0.0254237288136	0.0	BMweights	no	or5	fubar
0	0.97	0.0169491525424	0.0	BMweights	no	or5	fubar
0	0.98	0.0169491525424	0.0	BMweights	no	or5	fubar
0	0.99	0.0169491525424	0.0	BMweights	no	or5	fubar
0	1.0	0.0	0.0	BMweights	no	or5	fubar
